,League,Team,Week,Time,Name,PlayerPos,ActivePos,RealScore,ProjScore,PctPlayed
131,910981,11,1,0,Alex Collins,RB,RB,5.9,13.21,89.0
132,910981,11,1,0,Trey Burton,TE,TE,1.5,6.6,75.0
133,910981,11,1,0,Kenyan Drake,RB,W/R/T,6.6,13.22,90.0
134,910981,11,1,0,Kerryon Johnson,RB,BN,3.7,9.8,22.0
135,910981,11,1,0,Jamaal Williams,RB,BN,4.7,12.76,59.0
136,910981,11,1,0,Marcus Mariota,QB,BN,3.62,17.58,17.0
137,910981,11,1,0,Jared Cook,TE,BN,20.0,5.37,7.0
138,910981,11,1,0,Chris Boswell,K,K,3.0,9.17,69.0
139,910981,11,1,0,Los Angeles,DEF,DEF,17.0,8.16,95.0
140,729457,2,1,0,Matthew Stafford,QB,QB,12.04,18.07,75.0
141,729457,2,1,0,Adam Thielen,WR,WR,12.2,9.56,94.0
142,729457,2,1,0,Larry Fitzgerald,WR,WR,7.6,9.35,94.0
143,729457,2,1,0,Allen Robinson II,WR,WR,6.1,8.8,69.0
144,729457,2,1,0,Alvin Kamara,RB,RB,36.1,18.1,100.0
145,729457,2,1,0,Kareem Hunt,RB,RB,4.9,15.12,99.0
146,729457,2,1,0,Trey Burton,TE,TE,1.5,6.6,75.0
147,729457,2,1,0,Chris Hogan,WR,W/R/T,1.1,10.02,86.0
148,729457,2,1,0,Kenny Stills,WR,BN,24.6,8.28,21.0
149,729457,2,1,0,Tarik Cohen,RB,BN,4.1,8.28,19.0
150,729457,2,1,0,Patrick Mahomes,QB,BN,28.34,18.13,25.0
151,729457,2,1,0,Mike Williams,WR,BN,8.1,7.24,9.0
152,729457,2,1,0,Harrison Butker,K,K,9.0,9.61,72.0
153,729457,2,1,0,New Orleans,DEF,DEF,-4.0,8.09,72.0
154,729457,10,1,0,Cam Newton,QB,QB,18.24,21.83,95.0
155,729457,10,1,0,Mike Evans,WR,WR,22.7,9.56,93.0
156,729457,10,1,0,Marquise Goodwin,WR,WR,0.0,8.03,36.0
157,729457,10,1,0,Rishard Matthews,WR,WR,0.0,7.42,6.0
158,729457,10,1,0,Ezekiel Elliott,RB,RB,14.6,16.62,100.0
159,729457,10,1,0,Kenyan Drake,RB,RB,6.6,13.22,90.0
160,729457,10,1,0,Jack Doyle,TE,TE,4.0,6.25,33.0
161,729457,10,1,0,Doug Baldwin,WR,W/R/T,0.0,9.42,79.0
162,729457,10,1,0,David Njoku,TE,BN,1.3,6.35,45.0
163,729457,10,1,0,Philip Rivers,QB,BN,31.96,18.93,58.0
164,729457,10,1,0,Jordan Reed,TE,BN,10.8,7.28,58.0
165,729457,10,1,0,Rashaad Penny,RB,BN,4.3,6.73,5.0
166,729457,10,1,0,Justin Tucker,K,K,12.0,10.78,98.0
167,729457,10,1,0,Los Angeles,DEF,DEF,17.0,8.16,95.0
168,729457,6,1,0,Aaron Rodgers,QB,QB,24.94,21.85,99.0
169,729457,6,1,0,A.J. Green,WR,WR,13.2,12.08,99.0
170,729457,6,1,0,Demaryius Thomas,WR,WR,12.3,8.99,82.0
171,729457,6,1,0,Corey Davis,WR,WR,6.2,8.42,51.0
172,729457,6,1,0,Todd Gurley II,RB,RB,22.7,20.24,100.0
173,729457,6,1,0,Alex Collins,RB,RB,5.9,13.21,89.0
174,729457,6,1,0,Evan Engram,TE,TE,1.8,6.64,79.0
175,729457,6,1,0,Rex Burkhead,RB,W/R/T,6.9,12.18,53.0
176,729457,6,1,0,Michael Crabtree,WR,BN,9.8,7.43,35.0
177,729457,6,1,0,Isaiah Crowell,RB,BN,24.2,9.16,13.0
178,729457,6,1,0,Marcus Mariota,QB,BN,3.62,17.58,17.0
179,729457,6,1,0,Sterling Shepard,WR,BN,4.8,7.35,13.0
180,729457,6,1,0,Jake Elliott,K,K,4.0,9.76,84.0
181,729457,6,1,0,Jacksonville,DEF,DEF,13.0,8.63,96.0
182,729457,4,1,0,Deshaun Watson,QB,QB,12.04,20.52,93.0
183,729457,4,1,0,Julio Jones,WR,WR,20.0,15.65,100.0
184,729457,4,1,0,Tyreek Hill,WR,WR,37.3,10.57,97.0
185,729457,4,1,0,Will Fuller V,WR,WR,0.0,0.0,6.0
186,729457,4,1,0,Saquon Barkley,RB,RB,20.8,14.5,99.0
187,729457,4,1,0,Jay Ajayi,RB,RB,20.2,13.25,84.0
188,729457,4,1,0,Zach Ertz,TE,TE,4.8,9.15,98.0
189,729457,4,1,0,Josh Gordon,WR,W/R/T,7.7,7.6,34.0
190,729457,4,1,0,Sony Michel,RB,BN,0.0,0.0,2.0
191,729457,4,1,0,Julian Edelman,WR,BN,0.0,0.0,0.0
192,729457,4,1,0,Aaron Jones,RB,BN,0.0,0.0,0.0
193,729457,4,1,0,Alshon Jeffery,WR,BN,0.0,0.0,3.0
194,729457,4,1,0,Chris Boswell,K,K,3.0,9.17,69.0
195,729457,4,1,0,Pittsburgh,DEF,DEF,11.0,7.51,63.0
196,729457,8,1,0,Kirk Cousins,QB,QB,20.36,18.33,76.0
197,729457,8,1,0,Michael Thomas,WR,WR,24.0,12.47,100.0
198,729457,8,1,0,Brandin Cooks,WR,WR,9.3,9.56,77.0
199,729457,8,1,0,Sammy Watkins,WR,WR,2.1,7.86,25.0
200,729457,8,1,0,Devonta Freeman,RB,RB,5.0,13.92,97.0
201,729457,8,1,0,LeSean McCoy,RB,RB,2.1,10.9,76.0
202,729457,8,1,0,Greg Olsen,TE,TE,3.3,7.5,86.0
203,729457,8,1,0,James Conner,RB,W/R/T,31.2,12.38,64.0
204,729457,8,1,0,Le\'Veon Bell,RB,BN,0.0,0.0,15.0
205,729457,8,1,0,Pierre Garcon,WR,BN,2.1,7.32,14.0
206,729457,8,1,0,Jordy Nelson,WR,BN,2.3,6.9,19.0
207,729457,8,1,0,Adrian Peterson,RB,BN,20.6,11.08,35.0
208,729457,8,1,0,Wil Lutz,K,K,6.0,10.39,92.0
209,729457,8,1,0,Detroit,DEF,DEF,8.0,8.92,53.0
210,729457,7,1,0,Jared Goff,QB,QB,17.22,18.41,36.0
211,729457,7,1,0,Keenan Allen,WR,WR,18.8,11.4,99.0
212,729457,7,1,0,JuJu Smith-Schuster,WR,WR,13.9,9.29,90.0
213,729457,7,1,0,Nelson Agholor,WR,WR,5.5,9.14,39.0
214,729457,7,1,0,David Johnson,RB,RB,12.7,19.3,100.0
215,729457,7,1,0,Royce Freeman,RB,RB,7.1,12.31,72.0
216,729457,7,1,0,Travis Kelce,TE,TE,0.6,9.27,98.0
217,729457,7,1,0,Jamaal Williams,RB,W/R/T,4.7,12.76,59.0
218,729457,7,1,0,Jimmy Garoppolo,QB,BN,12.04,17.57,36.0
219,729457,7,1,0,Carlos Hyde,RB,BN,12.5,11.01,44.0
220,729457,7,1,0,Josh Doctson,WR,BN,1.1,6.55,4.0
221,729457,7,1,0,O.J. Howard,TE,BN,5.4,5.63,13.0
222,729457,7,1,0,Greg Zuerlein,K,K,17.0,11.7,99.0
223,729457,7,1,0,Denver,DEF,DEF,12.0,7.76,79.0
224,729457,1,1,0,Russell Wilson,QB,QB,22.42,18.76,85.0
225,729457,1,1,0,Antonio Brown,WR,WR,15.3,17.21,100.0
226,729457,1,1,0,Stefon Diggs,WR,WR,11.1,10.19,97.0
227,729457,1,1,0,Robert Woods,WR,WR,4.3,8.34,47.0
228,729457,1,1,0,Melvin Gordon III,RB,RB,20.6,16.25,99.0
229,729457,1,1,0,Joe Mixon,RB,RB,20.9,13.61,94.0
230,729457,1,1,0,Jimmy Graham,TE,TE,0.8,8.29,95.0
231,729457,1,1,0,Marshawn Lynch,RB,W/R/T,10.9,11.06,52.0
232,729457,1,1,0,Tevin Coleman,RB,BN,10.5,8.84,19.0
233,729457,1,1,0,Robby Anderson,WR,BN,9.2,7.84,26.0
234,729457,1,1,0,Peyton Barber,RB,BN,6.9,10.5,23.0
235,729457,1,1,0,Duke Johnson Jr.,RB,BN,2.5,8.98,23.0
236,729457,1,1,0,Daniel Carlson,K,K,7.0,10.46,52.0
237,729457,1,1,0,Los Angeles,DEF,DEF,-3.0,6.58,78.0
238,729457,9,1,0,Drew Brees,QB,QB,33.56,18.66,93.0
239,729457,9,1,0,DeAndre Hopkins,WR,WR,7.1,13.93,100.0
240,729457,9,1,0,Amari Cooper,WR,WR,1.8,9.48,88.0
241,729457,9,1,0,Marvin Jones Jr.,WR,WR,5.4,9.49,73.0
242,729457,9,1,0,Dalvin Cook,RB,RB,7.5,13.7,97.0
243,729457,9,1,0,Jordan Howard,RB,RB,10.7,13.68,94.0
244,729457,9,1,0,Kyle Rudolph,TE,TE,7.1,8.67,87.0
245,729457,9,1,0,Devin Funchess,WR,W/R/T,4.1,8.17,47.0
246,729457,9,1,0,Dak Prescott,QB,BN,8.7,17.11,12.0
247,729457,9,1,0,Bilal Powell,RB,BN,6.5,7.06,9.0
